"candidate_id","candidate_group","path_1","symbol_1","path_2","symbol_2","current_status","formula_similarity","contract_similarity","scientific_contract","importer_count_1","importer_count_2","documentation_reference_count","risk_level","expected_benefit","recommended_action","required_regression_gates","recommended_timing","notes"
"RRC-001","mass_preserving_tau_model","src/my_project/analytic/formulas_thickness_mismatch.py","ThicknessMismatchFactors","scripts/lib/variable_length_timoshenko.py","TauFactors","legacy dataclasses intentionally retained after shared value-algebra extraction","same mass-factor property and fields","different return types repr identities and denominator exception text","EB geometry wrapper versus diagnostic Timoshenko geometry wrapper","50","16","6","high","none beyond the completed algebra centralization","retain-separate","public imports signatures dataclass fields repr exceptions eta-zero swap mass and fixed-Lambda matrix snapshots","never-without-scientific-audit","Category similar-but-different-contract; the common helper must not absorb validation square-root backends dataclasses or public wrapper identity."
"RRC-002","mass_preserving_tau_factors","src/my_project/analytic/formulas_thickness_mismatch.py","thickness_mismatch_factors","scripts/lib/variable_length_timoshenko.py","tau_factors","duplicated denominator and tau divisions removed by Stage 3","same shared denominator polynomial and tau divisions","wrapper contracts deliberately differ","mass-preserving circular-radius scaling shared only as value algebra","50","16","6","high","already realized without API churn","no-action","completed 98-value 28-exception API repr import and EB/Timoshenko fixed-Lambda matrix gates","only-if-touched","Category resolved-by-common-thickness-scaling; no further wrapper unification is justified."
"RRC-003","local_thickness_helpers","src/my_project/analytic/formulas_thickness_mismatch.py","local_epsilons","scripts/analysis/thickness_mismatch/audits/audit_eb_validity_vs_timoshenko_stage1.py","local_thickness_parameters","both remain active at their existing paths","overlapping tau use but different length scaling","different return schema validation source and dimensional meaning","base-radius epsilon factors versus arm-local slenderness and applicability metrics","50","5","6","medium","low","retain-separate","field-by-field dimensional audit eta-zero swap and all Stage-1 CSV schema snapshots","only-if-touched","Category similar-but-different-contract; local_epsilons returns epsilon0*tau while local_thickness_parameters divides by arm length and returns twelve named metrics."
"RRC-004","diameter_length_ratio","src/my_project/analytic/formulas_thickness_mismatch.py","thickness_to_length_ratios","scripts/analysis/compare_coupled_equal_rods_eb_timoshenko.py","diameter_to_segment_length","both remain active","second is only the equal-arm tau=1 special case","different input domains and return arity","eta-aware per-arm applicability versus one equal-rod scalar diagnostic","50","1","4","high","negligible","retain-separate","diameter criterion checks at mu=0 eta=0 and representative unequal arms plus output/report snapshots","only-if-touched","Category similar-but-different-contract; a one-line special case is cheaper and clearer than coupling the older equal-rods diagnostic to the eta API."
"RRC-005","number_token","scripts/lib/diagnostic_common.py","number_token","scripts/lib/thickness_mismatch_diagnostic_helpers.py","number_token","exact duplicate implementations remain","identical .10g replacement formula","identical for ordinary float inputs; caller filename sets differ","non-scientific filename utility","3","7","2","low","small reduction of exact utility duplication","future-refactor-candidate","snapshot tokens for negative zero decimals exponents nonfinite values and every affected output filename","only-if-touched","Category safe-pure-utility-candidate; confirmed exact clone but not worth a standalone refactor now."
"RRC-006","filename_number_token","scripts/lib/analytic_branch_tracking.py","filename_number_token","scripts/lib/tracked_bending_descendant_shapes.py","filename_number_token","exact duplicate implementations remain","identical general-format replacement formula","identical implementation but filenames are public provenance","non-scientific formatting adjacent to branch-tracking outputs","10","6","5","low","small reduction of exact utility duplication","future-refactor-candidate","snapshot plus signs negative zero exponent formatting all default filenames and public import behavior","only-if-touched","Category safe-pure-utility-candidate; preserve old output paths through wrappers if ever centralized."
"RRC-007","shape_normalization","scripts/lib/analytic_coupled_rods_shapes.py","normalize_components","scripts/analysis/thickness_mismatch/shapes/plot_in_plane_mode_shapes_beta90_mu0p3_eta0p1_first6.py","normalize_signed_components","both are active","both divide component arrays by a scale","different scale selection floors sign timing and return values","model-specific reconstruction normalization versus post-sign visualization normalization","16","0","3","high","none","retain-separate","orientation sign normalization component and centerline snapshots plus determinant-null and display-MAC regressions","never-without-scientific-audit","Category scientifically-coupled-do-not-unify."
"RRC-008","root_deduplication","scripts/lib/analytic_coupled_rods_shapes.py","unique_sorted_roots","scripts/lib/straight_rod_factorized_spectrum.py","_deduplicate_candidates","both are active","both cluster close scalar roots","different metadata source merging sigma selection positivity and cross-family multiplicity semantics","shape convenience roots versus factorized-spectrum provenance and multiplicity","16","3","3","critical","none","retain-separate","synthetic close pairs exact multiplicity cross-family clusters root ordering and K10 root-11 completeness","never-without-scientific-audit","Category scientifically-coupled-do-not-unify; root deduplication is not a pure set operation here."
"RRC-009","sign_scan","src/my_project/analytic/solvers.py","find_roots_scan_bisect","scripts/lib/variable_length_timoshenko.py","find_roots_by_sign_scan","both are active","both scan determinant sign changes","different growth warnings nonfinite handling Brent versus fixed bisection return types and completeness role","baseline EB roots versus diagnostic Timoshenko sorted roots","24","16","5","critical","none","retain-separate","model limits missed-even-root fixtures multiplicity warnings root counts and all completeness guards","never-without-scientific-audit","Category scientifically-coupled-do-not-unify; shared scan syntax would hide different quality contracts."
"RRC-010","sign_scan_out_of_plane","src/my_project/analytic/solvers.py","find_roots_scan_bisect","src/my_project/analytic/solvers_out_of_plane.py","find_roots_scan_bisect_out_of_plane","both are active","similar manual scan and bisection structure","out-of-plane adds validation nonfinite warnings model inputs and scan-step-based deduplication","in-plane baseline versus out-of-plane EB plus torsion spectrum","24","8","2","critical","none","retain-separate","out-of-plane determinant sanity torsion-family behavior validation warnings multiplicity and in-plane regression snapshots","never-without-scientific-audit","Category scientifically-coupled-do-not-unify."
