result_dir,file_count,total_size,latest_mtime,contains_cache,contains_csv,contains_markdown_report,contains_plots,likely_workflow,status_guess,canonical_report,backup_included
results/_smoke,1094,205691561,2026-07-23T13:41:58.6016366Z,true,true,true,true, smoke,temporary,results/_smoke/3d_fem_environment_check/3d_fem_environment_check_report.md,true
results/eb_epsilon_apriori_pilot,65,3376061,2026-07-20T16:55:04.6124553Z,true,true,true,true,eb epsilon apriori pilot,completed-diagnostic,results/eb_epsilon_apriori_pilot/analysis/epsilon_apriori_pilot_report.md,true
results/eb_epsilon_apriori_pilot_branch_continuation_v1,23,3107826,2026-07-22T12:06:05.9706667Z,false,true,true,true,eb epsilon apriori pilot branch continuation v1,completed-diagnostic,results/eb_epsilon_apriori_pilot_branch_continuation_v1/analysis/epsilon_apriori_pilot_report.md,true
results/eb_epsilon_apriori_pilot_complete_spectrum_v1,140,15369152,2026-07-22T08:16:33.2301011Z,true,true,true,true,eb epsilon apriori pilot complete spectrum v1,completed-diagnostic,results/eb_epsilon_apriori_pilot_complete_spectrum_v1/analysis/epsilon_apriori_pilot_report.md,true
results/eb_epsilon_baseline_thresholds,6026,70263231,2026-07-21T13:18:54.2254049Z,true,true,true,true,eb epsilon baseline thresholds,completed-diagnostic,results/eb_epsilon_baseline_thresholds/eb_epsilon_baseline_thresholds_report.md,true
results/eb_epsilon_lower_envelope_step3a,129,39256436,2026-07-22T14:01:44.8519525Z,true,true,true,true,eb epsilon lower envelope step3a,closed-research,results/eb_epsilon_lower_envelope_step3a/eb_epsilon_lower_envelope_step3a_report.md,true
results/eb_rule_ab_exact_pareto,28,846423,2026-07-23T13:42:18.0074781Z,false,true,true,true,eb rule ab exact pareto,closed-research,results/eb_rule_ab_exact_pareto/eb_rule_ab_exact_pareto_report.md,true
results/eb_rule_s_cost_break_even,13,281570,2026-07-23T13:42:19.1575211Z,true,true,true,true,eb rule s cost break even,closed-research,results/eb_rule_s_cost_break_even/rule_S_cost_break_even_report.md,true
results/eb_timo_branch_continuation_gateway,516,131567222,2026-07-22T15:57:36.0316951Z,true,true,true,false,eb timo branch continuation gateway,completed-diagnostic,results/eb_timo_branch_continuation_gateway/eb_timo_branch_continuation_gateway_report.md,true
results/eb_timo_clean_mode_shapes,14,4422181,2026-07-18T16:50:28.0838689Z,false,true,true,true,eb timo clean mode shapes,active-diagnostic,results/eb_timo_clean_mode_shapes/clean_mode_shape_report.md,true
results/eb_timo_counterexample_dimensional_frequency_beta,6,1928273,2026-07-22T16:01:04.4940893Z,false,true,true,true,eb timo counterexample dimensional frequency beta,active-diagnostic,results/eb_timo_counterexample_dimensional_frequency_beta/counterexample_dimensional_frequency_beta_report.md,true
results/eb_timo_general_spectrum_completeness,10,6210999,2026-07-22T08:35:58.7956691Z,false,true,true,false,eb timo general spectrum completeness,completed-diagnostic,results/eb_timo_general_spectrum_completeness/eb_timo_general_spectrum_completeness_report.md,true
results/eb_timo_mode_shapes_eps0p03_beta45_eta0_modes4_6,57,5939692,2026-07-15T16:30:12.8174131Z,false,true,true,true,eb timo mode shapes eps0p03 beta45 eta0 modes4 6,active-diagnostic,results/eb_timo_mode_shapes_eps0p03_beta45_eta0_modes4_6/mode_shape_full_displacement_report.md,true
results/eb_validity_fixed_epsilon_geometry_scan,354,16472703,2026-07-19T14:07:12.4853043Z,true,true,true,true,eb validity fixed epsilon geometry scan,active-diagnostic,results/eb_validity_fixed_epsilon_geometry_scan/eb_validity_fixed_epsilon_geometry_scan_report.md,true
results/eb_validity_vs_timoshenko_stage1,600,6940008,2026-07-19T08:51:20.0652182Z,true,true,true,true,eb validity vs timoshenko stage1,active-diagnostic,results/eb_validity_vs_timoshenko_stage1/eb_validity_vs_timoshenko_stage1_report.md,true
results/eb_vs_timoshenko_3d_validation,106,814249750,2026-07-05T15:41:10.9679530Z,false,true,true,true,eb vs timoshenko 3d validation,active-diagnostic,results/eb_vs_timoshenko_3d_validation/stepped_beta0_mu0p5_eta0p1/eb_timo_3d_stepped_beta0_mu0p5_eta0p1_report.md,true
results/eb_vs_timoshenko_lambda_beta_cases,25,13900011,2026-07-06T14:28:33.0875065Z,true,true,true,true,eb vs timoshenko lambda beta cases,active-diagnostic,results/eb_vs_timoshenko_lambda_beta_cases/eb_vs_timo_lambda_beta_cases_report.md,true
results/eb_vs_timoshenko_lambda_mu_beta45_eta0_eps_scan,16,6469982,2026-07-09T06:49:45.0329885Z,true,true,true,true,eb vs timoshenko lambda mu beta45 eta0 eps scan,active-diagnostic,results/eb_vs_timoshenko_lambda_mu_beta45_eta0_eps_scan/eb_vs_timo_lambda_mu_beta45_eta0_eps_scan_report.md,true
results/eb_vs_timoshenko_lambda_mu_cases,14,2852854,2026-07-06T15:00:08.2629035Z,true,true,true,true,eb vs timoshenko lambda mu cases,active-diagnostic,results/eb_vs_timoshenko_lambda_mu_cases/eb_vs_timo_lambda_mu_cases_report.md,true
results/eb_vs_timoshenko_longitudinal_suspect_modes,25,2413751,2026-07-11T08:53:54.9687896Z,false,true,false,true,eb vs timoshenko longitudinal suspect modes,active-diagnostic,,true
results/timoshenko_mode_shape_diagnostics,15,4742285,2026-07-15T16:30:43.1664015Z,false,true,true,true,timoshenko mode shape diagnostics,active-diagnostic,results/timoshenko_mode_shape_diagnostics/timoshenko_modes_4_6_shape_diagnostics_report.md,true
results/timoshenko_shape_bug_audit,9,966331,2026-07-15T16:32:24.5551788Z,false,true,true,true,timoshenko shape bug audit,active-diagnostic,results/timoshenko_shape_bug_audit/beta_unit_audit.md,true
results/timoshenko_shape_construction_audit,29,6198831,2026-07-15T16:31:12.2087690Z,false,true,true,true,timoshenko shape construction audit,active-diagnostic,results/timoshenko_shape_construction_audit/timoshenko_modes456_visualization_report.md,true
