candidate_group,file_1,symbol_1,file_2,symbol_2,similarity_kind,scientific_risk,recommended_action
mass_preserving_tau_model,src/my_project/analytic/formulas_thickness_mismatch.py,ThicknessMismatchFactors,scripts/lib/variable_length_timoshenko.py,TauFactors,parallel dataclasses for same geometry scaling,high,Define one future data contract only after EB/Timoshenko assumption audit.
mass_preserving_tau_factors,src/my_project/analytic/formulas_thickness_mismatch.py,thickness_mismatch_factors,scripts/lib/variable_length_timoshenko.py,tau_factors,same mass-preserving formulas,high,Symbolically compare and regression-test eta=0/swap/mass conservation before reuse.
local_thickness_helpers,src/my_project/analytic/formulas_thickness_mismatch.py,local_epsilons,scripts/analysis/thickness_mismatch/audits/audit_eb_validity_vs_timoshenko_stage1.py,local_thickness_parameters,overlapping local epsilon geometry helpers,medium,Extract value-only helper after field/schema comparison.
diameter_length_ratio,src/my_project/analytic/formulas_thickness_mismatch.py,thickness_to_length_ratios,scripts/analysis/compare_coupled_equal_rods_eb_timoshenko.py,diameter_to_segment_length,related applicability geometry,high,Do not merge until total-length and per-arm conventions are proven identical.
number_token,scripts/lib/diagnostic_common.py,number_token,scripts/lib/thickness_mismatch_diagnostic_helpers.py,number_token,same filename token concern,low,Prefer diagnostic_common after output-name regression audit.
filename_number_token,scripts/lib/analytic_branch_tracking.py,filename_number_token,scripts/lib/tracked_bending_descendant_shapes.py,filename_number_token,same filename token concern,low,"Compare negative/decimal formatting snapshots, then centralize."
shape_normalization,scripts/lib/analytic_coupled_rods_shapes.py,normalize_components,scripts/analysis/thickness_mismatch/shapes/plot_in_plane_mode_shapes_beta90_mu0p3_eta0p1_first6.py,normalize_signed_components,related sign/scale normalization,high,Keep separate until physical orientation and sign conventions are audited.
root_deduplication,scripts/lib/analytic_coupled_rods_shapes.py,unique_sorted_roots,scripts/lib/straight_rod_factorized_spectrum.py,_deduplicate_candidates,different root/cluster contracts,do-not-unify-without-dedicated-audit,Multiplicity and cross-family cluster semantics differ.
sign_scan,src/my_project/analytic/solvers.py,find_roots_scan_bisect,scripts/lib/variable_length_timoshenko.py,find_roots_by_sign_scan,"similar sign scan, different models",do-not-unify-without-dedicated-audit,"Preserve multiplicity, SVD fallback, completeness guards and model contracts."
sign_scan_out_of_plane,src/my_project/analytic/solvers.py,find_roots_scan_bisect,src/my_project/analytic/solvers_out_of_plane.py,find_roots_scan_bisect_out_of_plane,similar scan family,do-not-unify-without-dedicated-audit,Out-of-plane warning and torsion-family behavior require separate audit.
csv_writer,scripts/lib/diagnostic_common.py,write_dict_rows_csv,scripts/analysis/thickness_mismatch/postprocess/analyze_eb_rule_ab_exact_pareto.py,write_csv,repeated DictWriter policy,low,Possible shared I/O helper after field-order and overwrite-policy audit.
csv_writer_safe_prefix,scripts/analysis/thickness_mismatch/postprocess/analyze_eb_safe_prefix_certification.py,write_csv,scripts/analysis/thickness_mismatch/audits/audit_eb_epsilon_lower_envelope_step3a.py,write_csv,repeated CSV writer with output policy,medium,Separate output atomicity/force semantics before extraction.
cli_definitions,scripts/analysis/thickness_mismatch/audits/audit_eb_timo_general_spectrum_completeness.py,parse_args,scripts/analysis/thickness_mismatch/audits/audit_eb_timo_branch_continuation_gateway.py,parse_args,repeated spectrum-quality CLI options,medium,Candidate argument-parent helper; retain different defaults and contracts.
cli_plot_modes,scripts/analysis/plot_mode_shapes_eta_beta_scan.py,parse_args,scripts/analysis/plot_mode_shapes_eta_beta_scan_sorted_modes.py,parse_args,parallel sorted/descendant mode-shape CLIs,medium,Parameterize selection only after output and branch-identity regression tests.
circular_section_model,scripts/lib/variable_length_timoshenko.py,section_from_epsilon_tau,scripts/analysis/compare_coupled_equal_rods_eb_timoshenko.py,section_from_epsilon,duplicated isotropic circular section formulas,high,Candidate common properties layer only after anisotropic design decision.
