"reference_id","referencing_file","referenced_text","resolved_path","classification","currently_exists","tracked","ignored","scientific_relevance","recommended_action","replacement_path","risk","notes"
"MPR-001","CHANGELOG.md","paper_dorofeev_style/bib/references.bib","paper_dorofeev_style/bib/references.bib","historical path","false","false","false","article bibliography provenance","preserve historical text","","low","The prior article workspace is absent from this checkout; a changelog record is not a current navigation promise."
"MPR-002","CHANGELOG.md","paper_dorofeev_style/dorofeev_article_journal_template.tex","paper_dorofeev_style/dorofeev_article_journal_template.tex","historical path","false","false","false","article template provenance","preserve historical text","","low","Historical workspace path; do not fabricate the article tree."
"MPR-003","CHANGELOG.md","paper_dorofeev_style/figures","paper_dorofeev_style/figures","historical path","false","false","false","generated article-figure provenance","preserve historical text","","low","Historical workspace path; current tracked curated figures live elsewhere."
"MPR-004","CHANGELOG.md","paper_dorofeev_style/generate_article_spectral_figures.py","paper_dorofeev_style/generate_article_spectral_figures.py","historical path","false","false","false","article figure-generation provenance","preserve historical text","","low","Historical generator outside the present checkout."
"MPR-005","CHANGELOG.md","paper_dorofeev_style/generate_descendant5_vibration_shape_figures.py","paper_dorofeev_style/generate_descendant5_vibration_shape_figures.py","historical path","false","false","false","article shape-figure provenance","preserve historical text","","low","Historical generator outside the present checkout."
"MPR-006","CHANGELOG.md","paper_dorofeev_style/generate_fixed_fixed_reference_spectral_figures.py","paper_dorofeev_style/generate_fixed_fixed_reference_spectral_figures.py","historical path","false","false","false","article reference-spectrum provenance","preserve historical text","","low","Historical generator outside the present checkout."
"MPR-007","CHANGELOG.md","paper_dorofeev_style/generate_targeted_analysis_figures.py","paper_dorofeev_style/generate_targeted_analysis_figures.py","historical path","false","false","false","article analysis-figure provenance","preserve historical text","","low","Historical generator outside the present checkout."
"MPR-008","CHANGELOG.md","paper_dorofeev_style/main.tex","paper_dorofeev_style/main.tex","historical path","false","false","false","article manuscript provenance","preserve historical text","","low","Historical article workspace; not a broken tracked Markdown link."
"MPR-009","CHANGELOG.md","paper_dorofeev_style/manuscript.tex","paper_dorofeev_style/manuscript.tex","historical path","false","false","false","article manuscript provenance","preserve historical text","","low","Historical article workspace; not a current prerequisite."
"MPR-010","CHANGELOG.md","paper_dorofeev_style/sections/analytic_model.tex","paper_dorofeev_style/sections/analytic_model.tex","historical path","false","false","false","article analytic-model provenance","preserve historical text","","low","Historical section path outside the checkout."
"MPR-011","CHANGELOG.md","paper_dorofeev_style/sections/baseline_spectral_picture_mu0.tex","paper_dorofeev_style/sections/baseline_spectral_picture_mu0.tex","historical path","false","false","false","article baseline-spectrum provenance","preserve historical text","","low","Historical section path outside the checkout."
"MPR-012","CHANGELOG.md","paper_dorofeev_style/sections/introduction.tex","paper_dorofeev_style/sections/introduction.tex","historical path","false","false","false","article prose provenance","preserve historical text","","low","Historical section path outside the checkout."
"MPR-013","CHANGELOG.md","paper_dorofeev_style/sections/mode_shapes_and_frequency_shift.tex","paper_dorofeev_style/sections/mode_shapes_and_frequency_shift.tex","historical path","false","false","false","article mode-shape provenance","preserve historical text","","low","Historical section path outside the checkout."
"MPR-014","CHANGELOG.md","scripts/plot_flat_mu_bending_desc","scripts/plot_flat_mu_bending_desc","superseded path","false","false","false","old tracked-branch plotting provenance","preserve historical text and use current command in new docs","scripts/run/run_tracked_bending_descendant_shapes_ru.py","medium","The text is an abbreviated old workflow name. Canonical branch selection now goes through analytic_branch_tracking."
"MPR-015","docs/literature/source_index.md","docs/literature/pdf/02.-Dissertatsiya_M.-K.-CHien-_21.03.25_.pdf","docs/literature/pdf/02.-Dissertatsiya_M.-K.-CHien-_21.03.25_.pdf","manual unresolved","false","false","false","potential literature source","locate authoritative source or mark unavailable in a separate literature audit","","medium","Do not create a placeholder PDF or infer its contents."
"MPR-016","docs/project_rules.md","paper_dorofeev_style/figures","paper_dorofeev_style/figures","optional external prerequisite","false","false","false","external article figure destination","clarify workspace ownership only when article work resumes","","low","The rules refer to an article workspace not tracked in this checkout."
"MPR-017","docs/project_rules.md","paper_thickness_mismatch_timoshenko/README.md","paper_thickness_mismatch_timoshenko/README.md","optional external prerequisite","false","false","false","planned external article-writing workflow","clarify workspace ownership only when article work starts","","low","Absence is expected before the external article workspace is created or attached."
"MPR-018","docs/thickness_mismatch/frequency_crossing_verification_status.md","paper_thickness_mismatch_article/main.tex","paper_thickness_mismatch_article/main.tex","optional external prerequisite","false","false","false","external article manuscript integration","resolve article-workspace ownership before editing the status note","","medium","Scientific findings remain in tracked reports; this absent path is an external publication target."
"MPR-019","docs/veering/figures/figure_index.md","data/dataset_index.md","docs/veering/figures/data/dataset_index.md","typo","false","false","false","curated veering dataset navigation","correct in a separately scoped documentation task","../data/dataset_index.md","low","The tracked target is docs/veering/data/dataset_index.md; the current relative path is one directory too shallow."
"MPR-020","docs/veering/figures/figure_index.md","paper_dorofeev_style/figures/lambda_mu_beta15_r5mm.png","paper_dorofeev_style/figures/lambda_mu_beta15_r5mm.png","historical path","false","false","false","original article-figure provenance","retain provenance text and prefer the curated tracked copy for navigation","docs/veering/figures/lambda_mu_beta15_r5mm.png","low","The external source path is absent, while the curated figure is tracked."
"MPR-021","scripts/README.md","paper_dorofeev_style/figures","paper_dorofeev_style/figures","optional external prerequisite","false","false","false","article figure output destination","document as external/local only if the script README is later revised","","low","Do not create the directory in this audit."
"MPR-022","scripts/README.md","paper_dorofeev_style/generate_article_spectral_figures.py","paper_dorofeev_style/generate_article_spectral_figures.py","optional external prerequisite","false","false","false","external article generator","document ownership or successor when article work resumes","","low","The path is absent and unignored; it belongs to a separate article workspace/history."
"MPR-023","scripts/README.md","paper_dorofeev_style/generate_descendant5_vibration_shape_figures.py","paper_dorofeev_style/generate_descendant5_vibration_shape_figures.py","optional external prerequisite","false","false","false","external article shape generator","document ownership or successor when article work resumes","","low","The path is absent and unignored; no placeholder is warranted."
"MPR-024","scripts/analysis/thickness_mismatch/README.md","data/eb_epsilon_lower_envelope_step3_cases.csv","scripts/analysis/thickness_mismatch/audits/data/eb_epsilon_lower_envelope_step3_cases.csv","tracked existing path","true","true","false","closed Step-3A case manifest","leave as local README shorthand; use the resolved tracked path in automation","scripts/analysis/thickness_mismatch/audits/data/eb_epsilon_lower_envelope_step3_cases.csv","low","The inventory resolved from repository root, but this inline reference is contextual to the audits subtree and has an existing tracked target."
"MPR-025","scripts/analysis/thickness_mismatch/README.md","scripts/analysis/thickness_mismatch/shapes/plot_beta_scan.py","scripts/analysis/thickness_mismatch/shapes/plot_beta_scan.py","historical path","false","false","false","explicit unexecuted shape-scan proposal","retain as a proposal and do not create it","","low","The surrounding text explicitly says proposed future script; absence is intentional."
"MPR-026","scripts/lib/README.md","scripts/reports","scripts/reports","manual unresolved","false","false","false","conceptual report-layer boundary","clarify as a conceptual label or point to existing report producers in a later docs-only task","","low","No such directory is tracked or ignored; location alone does not justify creating it."
